freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.939e+01,6.093e+02,5.943e+00,6.346e+02
1.5,1.904e+01,3.470e+02,1.799e+01,3.840e+02
3.0,1.165e+01,1.721e+01,1.932e+01,4.818e+01
4.4,1.180e+01,2.589e+02,1.791e+01,2.886e+02
5.9,1.211e+01,1.221e+03,2.754e+01,1.261e+03
7.4,1.200e+01,2.262e+03,5.396e+01,2.328e+03
8.9,1.255e+01,2.964e+03,5.351e+01,3.030e+03
10.3,1.407e+01,2.679e+03,3.280e+01,2.726e+03
11.8,1.503e+01,3.611e+03,2.168e+01,3.648e+03
13.3,1.654e+01,5.423e+03,2.034e+01,5.460e+03
14.8,2.202e+01,7.811e+03,2.427e+01,7.857e+03
16.3,2.820e+01,1.020e+04,2.374e+01,1.025e+04
17.7,2.468e+01,1.296e+04,2.341e+01,1.300e+04
19.2,2.093e+01,1.723e+04,2.365e+01,1.727e+04
20.7,2.217e+01,1.952e+04,2.152e+01,1.956e+04
22.2,1.534e+01,1.994e+04,1.966e+01,1.998e+04
23.7,1.684e+01,2.626e+04,1.999e+01,2.630e+04
25.1,2.295e+01,3.520e+04,2.008e+01,3.524e+04
26.6,2.717e+01,4.323e+04,2.530e+01,4.328e+04
28.1,3.479e+01,4.885e+04,3.298e+01,4.892e+04
29.6,4.005e+01,5.985e+04,3.509e+01,5.993e+04
31.0,4.116e+01,8.217e+04,2.492e+01,8.224e+04
32.5,7.267e+01,1.169e+05,2.681e+01,1.170e+05
34.0,1.826e+02,1.667e+05,4.941e+01,1.669e+05
35.5,3.380e+02,2.129e+05,8.895e+01,2.134e+05
37.0,4.491e+02,3.100e+05,1.113e+02,3.106e+05
38.4,7.020e+02,6.274e+05,9.539e+01,6.282e+05
39.9,1.467e+03,1.381e+06,8.451e+01,1.382e+06
41.4,2.448e+03,2.055e+06,1.199e+02,2.058e+06
42.9,2.419e+03,1.983e+06,1.250e+02,1.986e+06
44.3,2.031e+03,1.688e+06,1.181e+02,1.690e+06
45.8,1.576e+03,1.299e+06,1.646e+02,1.301e+06
47.3,1.187e+03,9.645e+05,2.092e+02,9.659e+05
48.8,8.564e+02,7.328e+05,2.144e+02,7.339e+05
50.3,6.221e+02,5.723e+05,1.934e+02,5.732e+05
51.7,4.517e+02,4.896e+05,2.310e+02,4.903e+05
53.2,3.278e+02,4.445e+05,3.066e+02,4.452e+05
54.7,2.009e+02,4.073e+05,3.725e+02,4.079e+05
56.2,8.541e+01,3.743e+05,4.104e+02,3.748e+05
57.6,1.636e+02,3.436e+05,4.527e+02,3.442e+05
