freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.798e+00,2.123e+01,5.127e+02,5.367e+02
1.5,1.001e+01,2.123e+01,2.963e+02,3.275e+02
3.0,1.081e+01,1.254e+01,2.309e+01,4.644e+01
4.4,1.187e+01,1.204e+01,2.483e+02,2.722e+02
5.9,1.285e+01,1.375e+01,1.096e+03,1.122e+03
7.4,1.150e+01,2.150e+01,1.722e+03,1.755e+03
8.9,1.182e+01,2.360e+01,2.356e+03,2.391e+03
10.3,1.161e+01,1.525e+01,3.306e+03,3.333e+03
11.8,1.280e+01,1.261e+01,4.426e+03,4.452e+03
13.3,1.345e+01,1.357e+01,5.778e+03,5.805e+03
14.8,1.601e+01,1.353e+01,7.353e+03,7.383e+03
16.3,3.205e+01,1.211e+01,9.404e+03,9.448e+03
17.7,4.669e+01,1.398e+01,1.086e+04,1.092e+04
19.2,3.224e+01,1.603e+01,1.331e+04,1.336e+04
20.7,2.806e+01,1.771e+01,1.589e+04,1.594e+04
22.2,2.957e+01,2.072e+01,1.868e+04,1.873e+04
23.7,1.943e+01,2.381e+01,2.171e+04,2.175e+04
25.1,1.520e+01,2.520e+01,2.493e+04,2.497e+04
26.6,1.603e+01,3.083e+01,2.886e+04,2.891e+04
28.1,1.689e+01,4.140e+01,3.372e+04,3.378e+04
29.6,1.735e+01,4.495e+01,3.954e+04,3.960e+04
31.0,1.761e+01,4.572e+01,4.658e+04,4.664e+04
32.5,1.807e+01,6.260e+01,5.406e+04,5.414e+04
34.0,1.615e+01,8.499e+01,6.226e+04,6.236e+04
35.5,1.548e+01,9.829e+01,7.275e+04,7.286e+04
37.0,1.937e+01,8.222e+01,8.705e+04,8.715e+04
38.4,2.527e+01,9.097e+01,1.043e+05,1.044e+05
39.9,4.485e+01,1.516e+02,1.175e+05,1.177e+05
41.4,7.309e+01,2.548e+02,1.361e+05,1.364e+05
42.9,7.627e+01,3.834e+02,1.564e+05,1.568e+05
44.3,6.742e+01,5.038e+02,1.715e+05,1.721e+05
45.8,7.322e+01,7.213e+02,1.978e+05,1.986e+05
47.3,8.708e+01,1.185e+03,2.398e+05,2.411e+05
48.8,8.457e+01,2.059e+03,2.991e+05,3.013e+05
50.3,7.091e+01,3.754e+03,3.842e+05,3.880e+05
51.7,6.212e+01,9.297e+03,5.744e+05,5.837e+05
53.2,7.262e+01,2.259e+04,9.702e+05,9.928e+05
54.7,1.408e+02,4.091e+04,1.645e+06,1.686e+06
56.2,2.418e+02,5.384e+04,2.264e+06,2.318e+06
57.7,2.404e+02,5.919e+04,2.260e+06,2.319e+06
59.1,3.009e+02,6.509e+04,1.909e+06,1.974e+06
60.6,4.254e+02,7.442e+04,1.526e+06,1.601e+06
62.1,3.642e+02,8.564e+04,1.215e+06,1.301e+06
63.6,2.490e+02,8.418e+04,9.047e+05,9.891e+05
65.0,2.052e+02,7.446e+04,6.875e+05,7.622e+05
66.5,2.186e+02,6.733e+04,6.141e+05,6.817e+05
68.0,2.016e+02,5.574e+04,5.409e+05,5.969e+05
69.5,2.090e+02,4.642e+04,5.240e+05,5.707e+05
71.0,3.079e+02,4.073e+04,5.311e+05,5.721e+05
72.4,2.970e+02,3.349e+04,5.081e+05,5.419e+05
73.9,1.279e+02,2.602e+04,4.758e+05,5.019e+05
75.4,1.066e+02,1.841e+04,4.245e+05,4.430e+05
76.9,2.451e+02,1.204e+04,3.400e+05,3.523e+05
78.3,3.034e+02,9.055e+03,2.798e+05,2.892e+05
79.8,1.767e+02,8.329e+03,2.690e+05,2.775e+05
81.3,1.133e+02,7.682e+03,2.550e+05,2.628e+05
82.8,2.666e+02,6.353e+03,2.363e+05,2.429e+05
84.3,3.891e+02,5.404e+03,2.388e+05,2.446e+05
85.7,4.118e+02,5.021e+03,2.321e+05,2.376e+05
87.2,5.314e+02,4.554e+03,2.181e+05,2.232e+05
88.7,7.447e+02,4.349e+03,2.081e+05,2.132e+05
90.2,1.208e+03,4.644e+03,1.994e+05,2.053e+05
91.6,1.902e+03,5.516e+03,1.970e+05,2.044e+05
93.1,1.987e+03,6.100e+03,2.054e+05,2.135e+05
94.6,2.512e+03,7.072e+03,2.239e+05,2.335e+05
96.1,3.517e+03,8.177e+03,2.380e+05,2.497e+05
97.6,4.454e+03,8.602e+03,2.473e+05,2.603e+05
99.0,5.970e+03,8.792e+03,2.515e+05,2.662e+05
100.5,6.488e+03,7.689e+03,2.515e+05,2.657e+05
102.0,6.757e+03,6.033e+03,2.489e+05,2.617e+05
103.5,5.827e+03,4.319e+03,2.413e+05,2.515e+05
105.0,4.422e+03,3.186e+03,2.145e+05,2.221e+05
106.4,3.013e+03,2.495e+03,1.962e+05,2.017e+05
107.9,1.808e+03,2.343e+03,1.822e+05,1.864e+05
109.4,1.116e+03,2.396e+03,1.639e+05,1.674e+05
110.9,6.357e+02,2.700e+03,1.480e+05,1.513e+05
112.3,4.929e+02,3.269e+03,1.347e+05,1.385e+05
113.8,7.436e+02,3.823e+03,1.243e+05,1.289e+05
115.3,1.153e+03,4.334e+03,1.216e+05,1.271e+05
116.8,1.581e+03,4.931e+03,1.250e+05,1.315e+05
118.3,1.789e+03,5.377e+03,1.259e+05,1.331e+05
119.7,2.111e+03,5.793e+03,1.227e+05,1.306e+05
121.2,2.331e+03,6.126e+03,1.187e+05,1.272e+05
122.7,2.466e+03,6.446e+03,1.153e+05,1.242e+05
124.2,2.669e+03,6.672e+03,1.110e+05,1.203e+05
125.6,3.051e+03,6.761e+03,1.054e+05,1.152e+05
127.1,3.346e+03,6.524e+03,9.889e+04,1.088e+05
128.6,3.326e+03,5.959e+03,9.161e+04,1.009e+05
130.1,3.041e+03,5.365e+03,8.616e+04,9.457e+04
131.6,2.627e+03,4.837e+03,8.055e+04,8.801e+04
133.0,1.326e+03,2.673e+03,4.542e+04,4.942e+04
134.5,2.856e+02,7.796e+02,1.442e+04,1.549e+04
136.0,2.078e+02,6.362e+02,1.224e+04,1.308e+04
137.5,2.361e+02,7.055e+02,1.258e+04,1.352e+04
139.0,2.711e+02,8.176e+02,1.311e+04,1.420e+04
140.4,3.014e+02,9.721e+02,1.360e+04,1.487e+04
141.9,3.241e+02,1.166e+03,1.401e+04,1.550e+04
143.4,3.426e+02,1.330e+03,1.387e+04,1.554e+04
144.9,3.638e+02,1.441e+03,1.311e+04,1.491e+04
146.3,3.933e+02,1.518e+03,1.211e+04,1.402e+04
147.8,4.348e+02,1.610e+03,1.120e+04,1.324e+04
149.3,4.761e+02,1.799e+03,1.088e+04,1.315e+04
150.8,5.128e+02,1.741e+03,9.499e+03,1.175e+04
152.3,5.040e+02,1.491e+03,7.626e+03,9.621e+03
153.7,4.732e+02,1.303e+03,6.214e+03,7.990e+03
155.2,4.648e+02,1.270e+03,5.338e+03,7.073e+03
156.7,5.537e+02,1.415e+03,4.705e+03,6.673e+03
158.2,6.150e+02,1.628e+03,4.510e+03,6.754e+03
159.6,5.470e+02,1.740e+03,4.168e+03,6.455e+03
161.1,5.454e+02,1.843e+03,3.316e+03,5.704e+03
162.6,6.606e+02,1.924e+03,2.478e+03,5.063e+03
164.1,8.187e+02,1.847e+03,1.938e+03,4.604e+03
165.6,9.399e+02,1.641e+03,1.435e+03,4.016e+03
167.0,9.773e+02,1.436e+03,1.006e+03,3.419e+03
168.5,8.822e+02,1.198e+03,7.327e+02,2.813e+03
170.0,6.649e+02,9.190e+02,5.964e+02,2.180e+03
171.5,4.376e+02,5.752e+02,5.151e+02,1.528e+03
173.0,2.833e+02,3.434e+02,4.839e+02,1.111e+03
174.4,2.117e+02,1.785e+02,4.783e+02,8.685e+02
175.9,1.833e+02,1.302e+02,4.115e+02,7.251e+02
177.4,1.652e+02,1.163e+02,3.792e+02,6.607e+02
178.9,1.735e+02,1.354e+02,3.671e+02,6.760e+02
180.3,1.718e+02,1.525e+02,3.627e+02,6.869e+02
181.8,1.909e+02,1.901e+02,3.896e+02,7.706e+02
