freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.067e+01,6.616e+02,5.040e+00,6.873e+02
1.5,2.140e+01,3.747e+02,1.766e+01,4.138e+02
3.0,1.268e+01,1.694e+01,1.963e+01,4.925e+01
4.4,1.316e+01,2.524e+02,1.933e+01,2.849e+02
5.9,1.341e+01,1.211e+03,2.670e+01,1.251e+03
7.4,1.314e+01,2.265e+03,5.632e+01,2.335e+03
8.9,1.395e+01,2.932e+03,5.449e+01,3.000e+03
10.3,1.386e+01,2.615e+03,2.884e+01,2.658e+03
11.8,1.444e+01,3.499e+03,2.174e+01,3.535e+03
13.3,1.728e+01,5.333e+03,1.999e+01,5.371e+03
14.8,2.357e+01,7.682e+03,2.491e+01,7.731e+03
16.3,2.850e+01,1.001e+04,2.598e+01,1.007e+04
17.7,2.531e+01,1.254e+04,2.472e+01,1.259e+04
19.2,2.564e+01,1.642e+04,2.107e+01,1.646e+04
20.7,2.548e+01,1.851e+04,1.981e+01,1.856e+04
22.2,1.358e+01,1.885e+04,2.131e+01,1.888e+04
23.6,1.674e+01,2.458e+04,1.884e+01,2.462e+04
25.1,2.413e+01,3.271e+04,1.795e+01,3.275e+04
26.6,2.881e+01,3.982e+04,2.454e+01,3.987e+04
28.1,3.228e+01,4.469e+04,3.524e+01,4.476e+04
29.6,3.196e+01,5.454e+04,3.971e+01,5.461e+04
31.0,3.926e+01,7.438e+04,3.045e+01,7.445e+04
32.5,8.106e+01,1.056e+05,3.138e+01,1.057e+05
34.0,1.838e+02,1.501e+05,5.101e+01,1.503e+05
35.5,3.166e+02,1.911e+05,9.379e+01,1.915e+05
37.0,3.972e+02,2.725e+05,1.151e+02,2.730e+05
38.4,6.291e+02,5.243e+05,1.066e+02,5.251e+05
39.9,1.314e+03,1.151e+06,7.436e+01,1.153e+06
41.4,2.343e+03,1.918e+06,8.451e+01,1.920e+06
42.9,2.490e+03,1.962e+06,7.505e+01,1.965e+06
44.3,2.208e+03,1.704e+06,8.231e+01,1.706e+06
45.8,1.754e+03,1.323e+06,1.457e+02,1.325e+06
47.3,1.297e+03,9.804e+05,1.986e+02,9.819e+05
48.8,9.267e+02,7.412e+05,2.077e+02,7.423e+05
50.3,6.596e+02,5.809e+05,2.060e+02,5.818e+05
51.7,5.026e+02,5.063e+05,2.411e+02,5.071e+05
53.2,3.731e+02,4.635e+05,3.115e+02,4.642e+05
54.7,2.274e+02,4.195e+05,3.937e+02,4.201e+05
56.2,9.336e+01,3.790e+05,4.407e+02,3.796e+05
57.6,1.722e+02,3.450e+05,4.685e+02,3.456e+05
59.1,7.083e+02,3.228e+05,5.680e+02,3.241e+05
60.6,8.817e+02,3.249e+05,8.978e+02,3.267e+05
62.1,5.222e+02,3.658e+05,1.638e+03,3.680e+05
63.6,2.199e+02,4.147e+05,2.605e+03,4.175e+05
65.0,2.395e+02,4.177e+05,3.333e+03,4.213e+05
66.5,5.141e+02,3.309e+05,3.021e+03,3.344e+05
68.0,1.016e+03,2.364e+05,2.984e+03,2.404e+05
69.5,2.568e+03,2.037e+05,4.912e+03,2.112e+05
70.9,6.701e+03,1.827e+05,7.547e+03,1.970e+05
72.4,1.148e+04,1.182e+05,7.146e+03,1.368e+05
73.9,1.336e+04,5.754e+04,5.049e+03,7.595e+04
75.4,1.370e+04,2.588e+04,3.303e+03,4.289e+04
76.9,1.218e+04,1.377e+04,2.617e+03,2.857e+04
78.3,9.425e+03,7.991e+03,2.223e+03,1.964e+04
79.8,7.776e+03,5.515e+03,2.505e+03,1.580e+04
81.3,8.012e+03,5.423e+03,3.347e+03,1.678e+04
82.8,9.935e+03,5.840e+03,3.250e+03,1.902e+04
84.3,1.247e+04,7.581e+03,2.471e+03,2.252e+04
85.7,1.344e+04,9.563e+03,1.410e+03,2.441e+04
87.2,1.533e+04,1.169e+04,9.754e+02,2.799e+04
88.7,1.857e+04,1.398e+04,6.880e+02,3.324e+04
90.2,2.216e+04,1.635e+04,6.278e+02,3.913e+04
91.6,2.642e+04,1.876e+04,6.635e+02,4.584e+04
93.1,3.226e+04,2.159e+04,7.167e+02,5.456e+04
94.6,4.104e+04,2.553e+04,7.273e+02,6.730e+04
96.1,5.367e+04,3.060e+04,9.691e+02,8.524e+04
97.6,7.472e+04,3.964e+04,1.489e+03,1.159e+05
99.0,9.850e+04,5.021e+04,2.730e+03,1.514e+05
100.5,1.233e+05,5.993e+04,4.662e+03,1.878e+05
102.0,1.448e+05,6.612e+04,6.585e+03,2.175e+05
103.5,1.541e+05,6.569e+04,7.581e+03,2.274e+05
104.9,1.635e+05,6.300e+04,8.236e+03,2.348e+05
106.4,2.241e+05,7.425e+04,9.503e+03,3.079e+05
107.9,2.814e+05,7.778e+04,8.173e+03,3.674e+05
109.4,2.552e+05,5.795e+04,6.265e+03,3.194e+05
110.9,1.872e+05,3.414e+04,4.987e+03,2.263e+05
112.3,1.269e+05,1.836e+04,3.890e+03,1.491e+05
113.8,8.837e+04,9.723e+03,3.067e+03,1.012e+05
115.3,6.477e+04,5.303e+03,2.734e+03,7.281e+04
116.8,4.893e+04,3.093e+03,2.223e+03,5.425e+04
118.2,3.645e+04,1.950e+03,1.973e+03,4.037e+04
119.7,2.895e+04,1.632e+03,1.871e+03,3.246e+04
121.2,2.522e+04,1.676e+03,1.735e+03,2.863e+04
122.7,2.283e+04,1.598e+03,1.233e+03,2.566e+04
124.2,2.063e+04,1.426e+03,5.573e+02,2.262e+04
125.6,1.845e+04,1.287e+03,2.909e+02,2.002e+04
127.1,1.637e+04,1.256e+03,2.999e+02,1.793e+04
128.6,1.449e+04,1.392e+03,3.444e+02,1.623e+04
130.1,1.309e+04,1.559e+03,4.666e+02,1.511e+04
131.6,1.207e+04,1.631e+03,4.940e+02,1.419e+04
133.0,6.259e+03,9.012e+02,3.828e+02,7.543e+03
134.5,6.879e+02,1.184e+02,1.864e+02,9.927e+02
136.0,2.534e+02,4.408e+01,1.275e+02,4.250e+02
137.5,2.542e+02,4.376e+01,1.113e+02,4.093e+02
138.9,2.483e+02,5.271e+01,1.223e+02,4.233e+02
140.4,2.374e+02,5.326e+01,1.590e+02,4.497e+02
141.9,2.393e+02,5.158e+01,2.346e+02,5.255e+02
143.4,2.232e+02,5.760e+01,3.635e+02,6.443e+02
144.9,2.072e+02,7.628e+01,5.749e+02,8.583e+02
146.3,2.018e+02,7.717e+01,7.320e+02,1.011e+03
147.8,2.047e+02,5.833e+01,7.238e+02,9.868e+02
149.3,2.103e+02,7.101e+01,8.442e+02,1.125e+03
150.8,2.069e+02,1.009e+02,1.006e+03,1.314e+03
152.2,1.838e+02,1.476e+02,1.141e+03,1.472e+03
153.7,1.707e+02,1.949e+02,1.221e+03,1.587e+03
155.2,1.702e+02,2.031e+02,8.889e+02,1.262e+03
156.7,1.713e+02,1.561e+02,5.010e+02,8.284e+02
158.2,1.649e+02,1.503e+02,5.157e+02,8.309e+02
159.6,1.777e+02,1.382e+02,4.586e+02,7.745e+02
161.1,1.764e+02,1.282e+02,3.293e+02,6.339e+02
162.6,1.767e+02,1.407e+02,3.378e+02,6.552e+02
